date,time,team1Name,team1Points,team2Name,team2Points,venue,teamType,referee,totalPoints,result,extraTime,hour,day,month,year,season,team1Bps,team2Bps,team1Tries,team1Conversions,team1Penalties,team1DropGoals,team2Tries,team2Conversions,team2Penalties,team2DropGoals
10/Sep/2022,15:00,Exeter,24,Leicester,20,Sandy Park,home,Christophe Ridley,44,W,N,15,Sat,Sep,2022,2022-23,0,1,3,2,1,0,2,2,2,0
10/Sep/2022,15:00,Leicester,20,Exeter,24,Sandy Park,away,Christophe Ridley,44,L,N,15,Sat,Sep,2022,2022-23,1,0,2,2,2,0,3,2,1,0
10/Sep/2022,15:00,London Irish,45,Worcester,14,Gtech Community Stadium,home,Wayne Barnes,59,W,N,15,Sat,Sep,2022,2022-23,1,0,7,5,0,0,2,2,0,0
10/Sep/2022,15:00,Worcester,14,London Irish,45,Gtech Community Stadium,away,Wayne Barnes,59,L,N,15,Sat,Sep,2022,2022-23,0,1,2,2,0,0,7,5,0,0
10/Sep/2022,15:00,Newcastle,31,Harlequins,40,Kingston Park,home,Luke Pearce,71,L,N,15,Sat,Sep,2022,2022-23,1,1,5,3,0,0,6,5,0,0
10/Sep/2022,15:00,Harlequins,40,Newcastle,31,Kingston Park,away,Luke Pearce,71,W,N,15,Sat,Sep,2022,2022-23,1,1,6,5,0,0,5,3,0,0
10/Sep/2022,17:30,Bristol,31,Bath,29,Ashton Gate,home,Matthew Carley,60,W,N,17,Sat,Sep,2022,2022-23,1,1,5,3,0,0,2,2,5,0
10/Sep/2022,17:30,Bath,29,Bristol,31,Ashton Gate,away,Matthew Carley,60,L,N,17,Sat,Sep,2022,2022-23,1,1,2,2,5,0,5,3,0,0
11/Sep/2022,15:00,Sale,29,Northampton,22,AJ Bell Stadium,home,Tom Foley,51,W,N,15,Sun,Sep,2022,2022-23,1,1,4,3,1,0,3,2,1,0
11/Sep/2022,15:00,Northampton,22,Sale,29,AJ Bell Stadium,away,Tom Foley,51,L,N,15,Sun,Sep,2022,2022-23,1,1,3,2,1,0,4,3,1,0
11/Sep/2022,15:00,Gloucester,27,Wasps,21,Kingsholm,home,Anthony Woodthorpe,48,W,N,15,Sun,Sep,2022,2022-23,1,1,4,1,1,0,3,3,0,0
11/Sep/2022,15:00,Wasps,21,Gloucester,27,Kingsholm,away,Anthony Woodthorpe,48,L,N,15,Sun,Sep,2022,2022-23,1,1,3,3,0,0,4,1,1,0
17/Sep/2022,14:00,Northampton,38,London Irish,22,Franklin's Gardens,home,Luke Pearce,60,W,N,14,Sat,Sep,2022,2022-23,1,0,4,3,4,0,3,1,1,0
17/Sep/2022,14:00,London Irish,22,Northampton,38,Franklin's Gardens,away,Luke Pearce,60,L,N,14,Sat,Sep,2022,2022-23,0,1,3,1,1,0,4,3,4,0
17/Sep/2022,15:00,Bath,20,Sale,37,Recreation Ground,home,Christophe Ridley,57,L,N,15,Sat,Sep,2022,2022-23,0,1,2,2,2,0,4,4,3,0
17/Sep/2022,15:00,Sale,37,Bath,20,Recreation Ground,away,Christophe Ridley,57,W,N,15,Sat,Sep,2022,2022-23,1,0,4,4,3,0,2,2,2,0
17/Sep/2022,15:00,Harlequins,27,Saracens,30,Twickenham Stoop,home,Tom Foley,57,L,N,15,Sat,Sep,2022,2022-23,1,1,3,3,2,0,4,2,2,0
17/Sep/2022,15:00,Saracens,30,Harlequins,27,Twickenham Stoop,away,Tom Foley,57,W,N,15,Sat,Sep,2022,2022-23,1,1,4,2,2,0,3,3,2,0
17/Sep/2022,15:00,Leicester,36,Newcastle,21,Welford Road,home,Craig Maxwell-Keys,57,W,N,15,Sat,Sep,2022,2022-23,1,0,5,4,1,0,3,3,0,0
17/Sep/2022,15:00,Newcastle,21,Leicester,36,Welford Road,away,Craig Maxwell-Keys,57,L,N,15,Sat,Sep,2022,2022-23,0,1,3,3,0,0,5,4,1,0
17/Sep/2022,15:00,Wasps,8,Bristol,23,Coventry Building Society Arena,home,Karl Dickson,31,L,N,15,Sat,Sep,2022,2022-23,0,0,1,0,1,0,2,2,2,1
17/Sep/2022,15:00,Bristol,23,Wasps,8,Coventry Building Society Arena,away,Karl Dickson,31,W,N,15,Sat,Sep,2022,2022-23,0,0,2,2,2,1,1,0,1,0
18/Sep/2022,15:00,Worcester,21,Exeter,36,Sixways,home,Matthew Carley,57,L,N,15,Sun,Sep,2022,2022-23,0,1,3,3,0,0,5,4,1,0
18/Sep/2022,15:00,Exeter,36,Worcester,21,Sixways,away,Matthew Carley,57,W,N,15,Sun,Sep,2022,2022-23,1,0,5,4,1,0,3,3,0,0
23/Sep/2022,19:45,Bath,31,Wasps,39,Recreation Ground,home,Wayne Barnes,70,L,N,19,Fri,Sep,2022,2022-23,1,1,4,4,1,0,4,2,5,0
23/Sep/2022,19:45,Wasps,39,Bath,31,Recreation Ground,away,Wayne Barnes,70,W,N,19,Fri,Sep,2022,2022-23,1,1,4,2,5,0,4,4,1,0
24/Sep/2022,15:00,Bristol,40,London Irish,36,Ashton Gate,home,Tom Foley,76,W,N,15,Sat,Sep,2022,2022-23,1,2,6,5,0,0,5,4,1,0
24/Sep/2022,15:00,London Irish,36,Bristol,40,Ashton Gate,away,Tom Foley,76,L,N,15,Sat,Sep,2022,2022-23,2,1,5,4,1,0,6,5,0,0
24/Sep/2022,15:00,Northampton,21,Leicester,41,Franklin's Gardens,home,Karl Dickson,62,L,N,15,Sat,Sep,2022,2022-23,0,1,3,3,0,0,6,4,1,0
24/Sep/2022,15:00,Leicester,41,Northampton,21,Franklin's Gardens,away,Karl Dickson,62,W,N,15,Sat,Sep,2022,2022-23,1,0,6,4,1,0,3,3,0,0
24/Sep/2022,15:00,Saracens,41,Gloucester,39,StoneX Stadium,home,Craig Maxwell-Keys,80,W,N,15,Sat,Sep,2022,2022-23,1,2,5,5,2,0,5,4,2,0
24/Sep/2022,15:00,Gloucester,39,Saracens,41,StoneX Stadium,away,Craig Maxwell-Keys,80,L,N,15,Sat,Sep,2022,2022-23,2,1,5,4,2,0,5,5,2,0
24/Sep/2022,15:00,Worcester,39,Newcastle,5,Sixways,home,Adam Leal,44,W,N,15,Sat,Sep,2022,2022-23,1,0,5,4,2,0,1,0,0,0
24/Sep/2022,15:00,Newcastle,5,Worcester,39,Sixways,away,Adam Leal,44,L,N,15,Sat,Sep,2022,2022-23,0,1,1,0,0,0,5,4,2,0
